				node_types		node_column
				biolink:Gene		ENSG00000154358
				biolink:Protein		ENSP00000455507
				biolink:Gene		ENSG00000198752
				biolink:Protein		ENSP00000355237
				biolink:Gene		ENSG00000159899
				biolink:Protein		ENSP00000341083
				biolink:Gene		ENSG00000163812
				biolink:Protein		ENSP00000296127
				biolink:Gene		ENSG00000178498
				biolink:Protein		ENSP00000448696
				biolink:Gene		ENSG00000112984
				biolink:Protein		ENSP00000378356
				biolink:Gene		ENSG00000152056
				biolink:Protein		ENSP00000379891
				biolink:Gene		ENSG00000053770
				biolink:Protein		ENSP00000261558
				biolink:Gene		ENSG00000108829
				biolink:Protein		ENSP00000225972
				biolink:Gene		ENSG00000106524
				biolink:Protein		ENSP00000303570
				biolink:Gene		ENSG00000241553
				biolink:Protein		ENSP00000388169
				biolink:Gene		ENSG00000103018
				biolink:Protein		ENSP00000308430
				biolink:Gene		ENSG00000100949
				biolink:Protein		ENSP00000382341
				biolink:Gene		ENSG00000148248
				biolink:Protein		ENSP00000361057
				biolink:Gene		ENSG00000186994
				biolink:Protein		ENSP00000328923
				biolink:Gene		ENSG00000143393
				biolink:Protein		ENSP00000357869
				biolink:Gene		ENSG00000198252
				biolink:Protein		ENSP00000346599
				biolink:Protein		ENSP00000373979
				biolink:Gene		ENSG00000164117
				biolink:Protein		ENSP00000377280
				biolink:Gene		ENSG00000152495
				biolink:Protein		ENSP00000282356
				biolink:Gene		ENSG00000269335
				biolink:Protein		ENSP00000483825
				biolink:Gene		ENSG00000088448
				biolink:Protein		ENSP00000267339
				biolink:Gene		ENSG00000081913
				biolink:Protein		ENSP00000262719
				biolink:Gene		ENSG00000221866
				biolink:Protein		ENSP00000352882
				biolink:Gene		ENSG00000076864
				biolink:Protein		ENSP00000434033
				biolink:Gene		ENSG00000101470
				biolink:Protein		ENSP00000361636
				biolink:Gene		ENSG00000104388
				biolink:Protein		ENSP00000262646
				biolink:Gene		ENSG00000197616
				biolink:Protein		ENSP00000386041
				biolink:Gene		ENSG00000153404
				biolink:Protein		ENSP00000283426
				biolink:Gene		ENSG00000168404
				biolink:Protein		ENSP00000308351
				biolink:Protein		ENSP00000443191
				biolink:Gene		ENSG00000089820
				biolink:Protein		ENSP00000359045
				biolink:Gene		ENSG00000070729
				biolink:Protein		ENSP00000251102
